ID,Name,Reference,SKU,Collection,Has Image,Image URL,Alt Text,Date Created
28673,"Altitude 39 Date, Black Dial, Steel Bracelet",ALT39-DT-SS-BK-B,ALT39-DT-SS-BK-B,Altitude,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Altitude_39DateBracelet_ALT39-DT-SS-BK-B-1.webp","Bremont Altitude 39 Date, Black Dial, Steel Bracelet at Palladio Jewellers",2025-06-15T12:33:12
28672,"Altitude 39 Date, Black Dial, Leather Strap",ALT39-DT-SS-BK-L-S,NOT SET,Altitude,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Altitude_39DateLeather_ALT39-DT-SS-BK-L-S-1.webp","Bremont Altitude 39 Date, Black Dial, Leather Strap at Palladio Jewellers",2025-06-15T12:32:20
28674,"Altitude 39 Date, Silver Dial, Leather Strap",ALT39-DT-SS-SI-L-S,ALT39-DT-SS-SI-L-S,Altitude,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Altitude_39DateLeather_ALT39-DT-SS-SI-L-S-1.webp","Bremont Altitude 39 Date, Silver Dial, Leather Strap at Palladio Jewellers",2025-06-15T12:34:05
28660,"Altitude Chronograph GMT",ALT42-CHR-G-SS-BK-B,NOT SET,Altitude,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Altitude-Chronograph-GMT_ALT42-CHR-G-SS-BK-B.webp","Bremont Altitude Chronograph GMT at Palladio Jewellers",2025-06-15T12:26:15
28662,"Altitude Chronograph GMT, Black Dial, Leather Strap",ALT42-CHR-G-SS-BK-L-S,ALT42-CHR-G-SS-BK-L-S,Altitude,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont-Altitude-Chronograph-GMT_BlackLeather_ALT42-CHR-G-SS-BK-L-S-1.webp","Bremont Altitude Chronograph GMT at Palladio Jewellers",2025-06-15T12:27:21
28664,"Altitude Chronograph GMT, Silver Dial, Steel Bracelet",ALT42-CHR-G-SS-SI-B,NOT SET,Altitude,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Altitude_ChronographSilverBracelet_ALT42-CHR-G-SS-SI-B-1.webp","Bremont Altitude Chronograph GMT, Silver Dial, Steel Bracelet at Palladio Jewellers",2025-06-15T12:28:29
28801,"Altitude MB Meteor, Black Dial, Ti Bracelet",ALT42-MT-TI-BKBK-B,ALT42-MT-TI-BKBK-B,Altitude,No,"No image","No image",2025-06-19T02:08:36
28802,"Altitude MB Meteor, Black Dial, Leather Strap",ALT42-MT-TI-BKBK-L-S,ALT42-MT-TI-BKBK-L-S,Altitude,No,"No image","No image",2025-06-19T02:08:53
28803,"Altitude MB Meteor, Silver Dial, Ti Bracelet",ALT42-MT-TI-SITI-B,ALT42-MT-TI-SITI-B,Altitude,No,"No image","No image",2025-06-19T02:10:36
28804,"Altitude MB Meteor, Silver Dial, Leather Strap",ALT42-MT-TI-SITI-L-S,ALT42-MT-TI-SITI-L-S,Altitude,No,"No image","No image",2025-06-19T02:10:53
28808,"Supermarine 300M Date Bi-Colour, Bracelet",SM40-DT-BI-BR-B,SM40-DT-BI-BR-B,Supermarine,No,"No image","No image",2025-06-19T02:12:06
28654,"Supermarine 300M Date, Black Dial, Bracelet",SM40-DT-SS-BK-B,NOT SET,Supermarine,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Supermarine-S300Date_SM40-DT-SS-BK-B-1.webp","Bremont Bremont at Palladio Jewellers",2025-06-15T12:23:20
28656,"Supermarine 300M Date, Black Dial, Rubber Strap",SM40-DT-SS-BK-R-S,SM40-DT-SS-BK-R-S,Supermarine,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Supermarine-S300Date-SM40-DT-SS-BK-R-S-1.webp","Bremont Bremont at Palladio Jewellers",2025-06-15T12:24:09
28806,"Supermarine 300M GMT "Glacier" Blue",SM40-GMT-SS-BLBK-B,SM40-GMT-SS-BLBK-B,Supermarine,No,"No image","No image",2025-06-19T02:11:33
28805,"Supermarine 300M GMT "Tundra" Green",SM40-GMT-SS-GNBK-G,SM40-GMT-SS-GNBK-G,Supermarine,No,"No image","No image",2025-06-19T02:11:11
28658,"Supermarine 300M, Blue Dial, Bracelet",SM40-ND-SS-BL-B,SM40-ND-SS-BL-B,Supermarine,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Supermarine-S300Blue-SM40-ND-SS-BL-S-1.webp","Bremont Supermarine 300M at Palladio Jewellers",2025-06-15T12:25:09
28807,"Supermarine 300M, Green Dial, Bracelet",SM40-ND-SS-GN-B,SM40-ND-SS-GN-B,Supermarine,No,"No image","No image",2025-06-19T02:11:48
28646,"Supermarine Full Ceramic Tactical Black, NATO Strap",SM43-DT-BKCER-BK-N-S,SM43-DT-BKCER-BK-N-S,Supermarine,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Supermarine_SM43-DT-BKCER-BK-N-S-1.webp","Bremont Bremont at Palladio Jewellers",2025-06-15T12:07:21
28648,"Supermarine 500m",SM43-DT-SS-BK-B,NOT SET,Supermarine,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Supermarine_SM43-DT-SS-BK-B-1.webp","Bremont Bremont at Palladio Jewellers",2025-06-15T12:08:52
28650,"Supermarine 500m, Black Rubber Strap",SM43-DT-SS-BK-R-S,SM43-DT-SS-BK-R-S,Supermarine,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Supermarine_SM43-DT-SS-BK-R-S-1.webp","Bremont Bremont at Palladio Jewellers",2025-06-15T12:09:55
28644,"Terra Nova 38 'Pink'",TN38-ND-SS-PK-B,NOT SET,Terra Nova,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_TerraNova_38_Pink_TN38-ND-SS-PK-B-1.webp","Bremont Bremont at Palladio Jewellers",2025-06-15T12:06:25
28689,"Terra Nova 40.5 Date",TN40-DT-SS-BK-B,TN40-DT-SS-BK-B,Terra Nova,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_TerraNova_TN40-DT-SS-BK-B-1.webp","Bremont Terra Nova at Palladio Jewellers",2025-06-15T13:11:05
28642,"Terra Nova 40.5 Date, Green Dial",TN40-DT-SS-GN-L-S,TN40-DT-SS-GN-L-S,Terra Nova,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_TerraNova_TN40-DT-SS-GN-L-S-2.webp","Bremont Bremont at Palladio Jewellers",2025-06-15T12:02:42
28687,"Terra Nova 40.5 Jumping Hour",TN40-JH-SS-BK-B,TN40-JH-SS-BK-B,Terra Nova,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_TerraNova_TN40-JH-SS-BK-B-1.webp","Bremont Terra Nova at Palladio Jewellers",2025-06-15T13:10:09
28685,"Terra Nova 40.5 Turning Bezel Power Reserve Black",TN40-PWR-SS-BK-L-S,TN40-PWR-SS-BK-L-S,Terra Nova,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Terranova_TN40-PWR-SS-BK-L-S-2.webp","Bremont Terra Nova at Palladio Jewellers",2025-06-15T13:09:14
28683,"Terra Nova 40.5 Turning Bezel Power Reserve",TN40-PWR-SS-BL-B,TN40-PWR-SS-BL-B,Terra Nova,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Terranova_TN40-PWR-SS-BL-B-2.webp","Bremont Terra Nova at Palladio Jewellers",2025-06-15T13:08:14
28629,"Terra Nova 42.5 Chronograph Bronze",TN42-CHR-BZ-GN-L-S,TN42-CHR-BZ-GN-L-S,Terra Nova,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/BremontBronze_TerraNova_TN42-CHR-BZ-GN-L-S-2.webp","Bremont Bremont at Palladio Jewellers",2025-06-15T10:29:02
28624,"Terra Nova 42.5 Chronograph, Bracelet",TN42-CHR-SS-BK-B,NOT SET,Terra Nova,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Terranova_TN42-CHR-SS-BK-B-1.webp","Bremont Bremont at Palladio Jewellers",2025-06-15T10:04:22
28632,"Terra Nova 42.5 Chronograph, Leather Strap",TN42-CHR-SS-BK-L-S,TN42-CHR-SS-BK-L-S,Terra Nova,Yes,"https://staging-palladiocanadacom-staging.kinsta.cloud/wp-content/uploads/2025/06/Bremont_Terranova_TN42-CHR-SS-BK-L-S-1.webp","Bremont Bremont at Palladio Jewellers",2025-06-15T11:37:15